GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,Yearly Avg
Alabama,3,Per capita personal income (dollars) 2/,40039,40240,40479,41079,40459.25
Alaska,3,Per capita personal income (dollars) 2/,56270,56425,56957,57527,56794.75
Arizona,3,Per capita personal income (dollars) 2/,41929,42160,42710,43128,42481.75
Arkansas,3,Per capita personal income (dollars) 2/,41247,41398,41414,42011,41517.5
California,3,Per capita personal income (dollars) 2/,59212,59701,60223,61474,60152.5
Colorado,3,Per capita personal income (dollars) 2/,54226,54895,55616,56542,55319.75
Connecticut,3,Per capita personal income (dollars) 2/,71088,71901,72290,73497,72194
Delaware,3,Per capita personal income (dollars) 2/,49860,49869,50565,51009,50325.75
Florida,3,Per capita personal income (dollars) 2/,47122,47605,47984,48747,47864.5
Georgia,3,Per capita personal income (dollars) 2/,44032,44242,44531,45317,44530.5
Hawaii,3,Per capita personal income (dollars) 2/,52627,52765,53266,53888,53136.5
Idaho,3,Per capita personal income (dollars) 2/,41494,41933,42139,42787,42088.25
Illinois,3,Per capita personal income (dollars) 2/,53150,53555,54137,54913,53938.75
Indiana,3,Per capita personal income (dollars) 2/,44735,44975,45264,45888,45215.5
Iowa,3,Per capita personal income (dollars) 2/,47342,47369,47222,47872,47451.25
Kansas,3,Per capita personal income (dollars) 2/,48493,48629,48813,49504,48859.75
Kentucky,3,Per capita personal income (dollars) 2/,40546,40770,41068,41599,40995.75
Louisiana,3,Per capita personal income (dollars) 2/,43466,43593,44005,44684,43937
Maine,3,Per capita personal income (dollars) 2/,45965,46159,46751,47384,46564.75
Maryland,3,Per capita personal income (dollars) 2/,59833,60134,60571,61483,60505.25
Massachusetts,3,Per capita personal income (dollars) 2/,67116,67742,68550,69482,68222.5
Michigan,3,Per capita personal income (dollars) 2/,45870,45983,46220,46944,46254.25
Minnesota,3,Per capita personal income (dollars) 2/,54706,54654,54665,55632,54914.25
Mississippi,3,Per capita personal income (dollars) 2/,36198,36128,36391,36791,36377
Missouri,3,Per capita personal income (dollars) 2/,45273,45528,45781,46385,45741.75
Montana,3,Per capita personal income (dollars) 2/,44864,45230,45345,45847,45321.5
Nebraska,3,Per capita personal income (dollars) 2/,50117,50612,50630,51271,50657.5
Nevada,3,Per capita personal income (dollars) 2/,46320,46642,47186,47398,46886.5
New Hampshire,3,Per capita personal income (dollars) 2/,57589,57870,58905,59209,58393.25
New Jersey,3,Per capita personal income (dollars) 2/,63917,64535,65168,66014,64908.5
New Mexico,3,Per capita personal income (dollars) 2/,39224,39277,39563,39976,39510
New York,3,Per capita personal income (dollars) 2/,64281,64897,65704,67657,65634.75
North Carolina,3,Per capita personal income (dollars) 2/,43729,43952,44217,44801,44174.75
North Dakota,3,Per capita personal income (dollars) 2/,52512,52921,52336,52749,52629.5
Ohio,3,Per capita personal income (dollars) 2/,46136,46349,46745,47356,46646.5
Oklahoma,3,Per capita personal income (dollars) 2/,42784,43467,43868,44369,43622
Oregon,3,Per capita personal income (dollars) 2/,47672,48195,48382,49271,48380
Pennsylvania,3,Per capita personal income (dollars) 2/,52380,52705,53350,54089,53131
Rhode Island,3,Per capita personal income (dollars) 2/,51333,51978,52807,53339,52364.25
South Carolina,3,Per capita personal income (dollars) 2/,41654,41916,42119,42607,42074
South Dakota,3,Per capita personal income (dollars) 2/,49483,49529,49425,49796,49558.25
Tennessee,3,Per capita personal income (dollars) 2/,44622,44732,44892,45537,44945.75
Texas,3,Per capita personal income (dollars) 2/,47044,47599,48192,48850,47921.25
Utah,3,Per capita personal income (dollars) 2/,43402,43615,44147,44838,44000.5
Vermont,3,Per capita personal income (dollars) 2/,51589,51640,52052,52567,51962
Virginia,3,Per capita personal income (dollars) 2/,54686,54947,55423,56145,55300.25
Washington,3,Per capita personal income (dollars) 2/,57654,58102,58698,59785,58559.75
West Virginia,3,Per capita personal income (dollars) 2/,38203,38292,38777,39261,38633.25
Wisconsin,3,Per capita personal income (dollars) 2/,48623,48945,49568,49989,49281.25
Wyoming,3,Per capita personal income (dollars) 2/,55202,56068,56500,57516,56321.5
